"caption","ownerFullName","ownerUsername","url","commentsCount","firstComment","likesCount","timestamp","queryTag"
"Soft, fruity and sweet aged in Sherry Cask barrels. DM for orders and inquiries 😌","Agave Amigos","agave.amigos","https://www.instagram.com/p/C4UrkrbvGLL/","4","Hm","46","2024-03-10T06:09:06.000Z",
"Back to the classics ✨ thank you @janinamanipol for the photo 💛","Agave Amigos","agave.amigos","https://www.instagram.com/p/C7vEITRPMyU/","1","@yappitsme","85","2024-06-03T01:38:07.000Z",
"Elevating home decor 

Left: Clase Azul Reposado
Right: Clase Azul Durango","Agave Amigos","agave.amigos","https://www.instagram.com/p/C2JjiTtvR90/","1","Hm?","87","2024-01-16T05:24:26.000Z",
"🥂 Sip, Savor, and Save! 🍻 Our liquor paradise is coming soon, and we're raising the bar on competitive prices. Get ready to toast to great deals! 🥃","Agave Amigos","agave.amigos","https://www.instagram.com/p/CxDVUsRhyvu/","1","🫡🤩","36","2023-09-11T12:47:50.000Z",
"Three is never a crowd when it's all about Clase Azul! ✨","Agave Amigos","agave.amigos","https://www.instagram.com/p/CxzP63iyhKZ/","1","Hm?","51","2023-09-30T03:24:10.000Z",
"Sippin' on Clase Azul Durango, because life is better with a touch of luxury. ✨","Agave Amigos","agave.amigos","https://www.instagram.com/p/Cx5hLLeSq90/","0","","30","2023-10-02T13:50:23.000Z",
"our best selling bottle with taste notes of warm oak, vanilla and roasted agave 😍","Agave Amigos","agave.amigos","https://www.instagram.com/p/Cyu60SUvnbl/","2","How much per bottle? Thanks","47","2023-10-23T07:34:11.000Z",
"a symbol of Mexican tradition and culture in our iconic decanter, painted by hand in cobalt blue 💙","Agave Amigos","agave.amigos","https://www.instagram.com/p/CyknHDGvz-6/","0","","42","2023-10-19T07:29:35.000Z",
"✨ Chula Parranda Boot Reposado and Blanco ✨

Also available in Extra Anejo. DM for orders and inquiries 💛","Agave Amigos","agave.amigos","https://www.instagram.com/p/C8tgoVWOVXN/","6","Hm","18","2024-06-27T07:40:04.000Z",
"Sipping on Clase Azul Tequila, because weekends are meant for luxury and relaxation. 🍹✨","Agave Amigos","agave.amigos","https://www.instagram.com/p/CyC6l7HPVog/","0","","22","2023-10-06T05:25:39.000Z",
"power pair 💚🖤

left: Guerrero, right: Durango","Agave Amigos","agave.amigos","https://www.instagram.com/p/CzDK4o2vfbP/","0","","30","2023-10-31T04:19:24.000Z",
"Distinctive smoky character and unique notes of wood, peanut and chocolate.","Agave Amigos","agave.amigos","https://www.instagram.com/p/CyhuYfpvs_0/","0","","19","2023-10-18T04:35:25.000Z",
"Sip, savor, and save with Don Julio! 🥃 Unbeatable prices, unbeatable taste. Cheers to affordable luxury! 💰🎉","Agave Amigos","agave.amigos","https://www.instagram.com/p/CxIOK-ch0xJ/","0","","12","2023-09-13T10:21:32.000Z",
"Celebrate your parties with us featuring our Casamigos Reposado 🎇 available for same day delivery, DM for orders and inquiries 🎉","Agave Amigos","agave.amigos","https://www.instagram.com/p/C3xGzyOvmqE/","0","","11","2024-02-25T10:34:26.000Z",
